Zip;Mean;Pop
11801;103.356;39.393
11803;137.077;27.719
11804;133.622;4.942
11901;73.673;22.490
11930;90.684;1.299
11931;89.576;180
11932;162.763;1.417
11933;92.801;5.970
11934;98.045;6.548
11935;102.633;3.383
11937;129.902;13.215
11939;93.668;776
11940;126.446;4.382
11941;107.784;1.568
11942;111.985;3.985
11944;82.387;3.663
11946;83.584;12.798
11947;89.576;309
11948;101.532;803
11949;105.475;11.362
11950;81.840;14.834
11951;71.328;12.865
11952;102.132;4.559
11953;75.870;12.191
11954;92.272;3.844
11955;85.751;2.672
11956;102.650;328
11957;93.668;709
11958;102.207;543
11959;107.261;1.022
11960;103.774;1.144
11961;80.860;12.389
11962;163.919;445
11963;156.503;6.644
11964;93.973;1.736
11965;93.973;489
11967;86.510;24.613
11968;154.825;11.830
11970;89.576;473
11971;95.009;5.577
11972;107.627;1.126
11975;168.344;394
11976;147.241;1.955
11977;129.728;2.408
11978;127.980;3.421
11980;89.630;4.305
1199;58.759;14
12007;73.708;89
12008;80.919;424
12009;84.140;7.459
1201;57.694;43.838
12010;53.633;25.949
12015;6.418;277
12017;96.400;382
12018;80.224;7.393
12019;97.506;13.358
12020;65.898;24.363
12022;62.944;1.008
12023;71.716;2.119
12024;113.441;23
12025;74.574;5.312
12027;82.191;3.528
12028;65.791;1.307
12029;96.504;1.368
12032;61.632;956
12033;84.715;7.828
12035;64.201;672
12036;52.813;267
12037;91.310;3.781
12040;62.944;84
12041;103.358;412
12042;63.423;285
12043;32.419;4.619
12045;73.708;752
12046;73.542;920
12047;57.003;18.181
12051;48.368;5.365
12052;72.012;1.368
12053;79.322;4.366
12054;105.318;15.554
12056;82.682;2.171
12057;53.605;1.842
12058;67.620;1.397
12059;72.010;1.703
12060;93.021;1.391
12061;89.234;8.223
12062;74.444;1.736
12063;75.226;330
12064;51.378;530
12065;90.235;38.743
12066;69.626;2.244
12067;99.846;1.675
12068;61.839;3.277
12069;63.263;245
12070;68.531;1.477
12071;55.838;254
12072;65.606;2.499
12074;80.517;2.973
12075;75.655;3.252
12076;60.349;1.378
12077;94.696;5.982
12078;49.696;23.612
12083;60.078;3.419
12084;95.624;3.956
12085;79.047;219
12086;69.852;1.870
12087;69.936;1.025
12089;61.939;77
12090;60.099;6.075
12092;61.222;1.265
12093;54.964;1.499
12094;71.154;2.155
12095;58.284;12.776
12106;74.511;2.263
12108;69.704;480
12110;90.547;20.543
12115;113.441;221
12116;53.818;1.822
12117;54.147;3.310
12118;68.627;11.643
12120;66.981;616
12121;74.543;1.903
12122;64.134;4.396
12123;71.482;5.168
12124;69.468;627
12125;74.234;1.391
12130;87.645;976
12131;55.838;117
12132;113.441;388
12134;55.275;3.709
12136;113.266;841
12137;77.047;1.750
12138;63.572;3.180
12139;69.704;274
12140;78.198;1.654
12143;66.552;5.252
12144;70.710;18.277
12147;68.071;549
12148;107.515;3.175
12149;52.724;2.248
12150;70.548;759
12151;84.491;707
12153;76.898;763
12154;76.250;2.710
12155;49.133;1.748
12156;87.687;827
12157;69.473;4.041
12158;89.751;6.043
12159;100.973;7.267
12160;31.410;391
12161;104.261;132
12164;69.704;393
12165;96.306;156
12166;64.962;1.421
12167;34.596;1.481
12168;71.874;2.002
12169;72.567;312
12170;76.026;5.183
12172;61.285;412
12173;67.604;1.801
12174;70.809;358
12175;54.086;871
12176;53.813;166
12177;62.174;488
12180;56.554;52.373
12182;42.860;9.901
12183;57.344;2.281
12184;90.122;7.062
12185;71.409;2.207
12186;96.584;6.260
12187;54.901;646
12188;72.914;10.768
12189;61.486;16.593
12190;63.180;737
12192;67.902;1.773
12193;71.008;2.056
12194;55.838;161
12195;74.234;228
12196;85.711;2.754
12197;52.464;2.297
12198;79.794;7.199
1220;50.308;8.947
12202;40.534;9.909
12203;65.318;33.802
12204;74.573;6.838
12205;78.551;28.240
12206;39.183;16.207
12207;28.874;1.985
12208;65.534;21.154
12209;61.516;9.730
12210;43.876;9.778
12211;97.674;10.791
1222;68.665;821
12222;77.839;4
1223;71.204;2.287
1224;82.491;197
